Timestamp,Overall how would you rate your knowledge and skill with the following [Excel],Overall how would you rate your knowledge and skill with the following [Tableau],Overall how would you rate your knowledge and skill with the following [Adobe Photoshop],Overall how would you rate your knowledge and skill with the following [PowerPoint],Overall how would you rate your knowledge and skill with the following [Google Charts],Overall how would you rate your knowledge and skill with the following [JavaScript],Overall how would you rate your knowledge and skill with the following [HTML],Overall how would you rate your knowledge and skill with the following [CSS],Overall how would you rate your knowledge and skill with the following [R],Overall how would you rate your knowledge and skill with the following [Python],"Overall, how would your rate your knowlege and skill in creating the following display types [Pie Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Bar Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Line Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Scatterplot]","Overall, how would your rate your knowlege and skill in creating the following display types [Histogram]","Overall, how would your rate your knowlege and skill in creating the following display types [Boxplot]","Overall, how would your rate your knowlege and skill in creating the following display types [Density Plot]","Overall, how would your rate your knowlege and skill in creating the following display types [Stacked Area Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Bubble Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Tables]","Overall, how would your rate your knowlege and skill in creating the following display types [Box Plot]","Overall, how would your rate your knowlege and skill in creating the following display types [Location Map]","Overall, how would your rate your knowlege and skill in creating the following display types [Choropleth]","Overall, how would your rate your knowlege and skill in creating the following display types [Stacked Bar Chart]","Overall, how would your rate your knowlege and skill in creating the following display types [Heat Maps]","Overall, how would your rate your knowlege and skill in creating the following display types [Cartograms]","Overall, how would your rate your knowlege and skill in creating the following display types [Bubble Maps]","Overall, how would your rate your knowlege and skill in creating the following display types [Animated charts]","Overall, how would your rate your knowlege and skill in creating the following display types [Interactive / web based charts]",Which of the following charts could you use to show categorical data?,Which chart type is best for displaying time series data?,What are the values for April in the chart above?,"Overall, the east coast had more fatal and non-fatal aircraft injuries than the west coast from 2009 to 2013. ","From 2002 to 2012, Jamaica's rural population did not grow. "
9/21/2016 0:58:56,Good,Average,Poor,Very Good,Average,Good,Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Average,Average,Very Good,Very Good,Average,Average,Good,Average,Poor,Poor,Poor,Average,"Stacked Bar Chart, Column Bar Chart",Parallel Coordinates Chart,25,TRUE,TRUE
9/21/2016 1:44:43,Good,Poor,Average,Good,Poor,Very Poor,Very Poor,No knowledge,Average,Very Poor,Good,Good,Good,Average,Average,Average,Poor,Poor,Average,Good,Good,Very Poor,Very Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Stacked Bar Chart,Line Chart,sales,TRUE,TRUE
9/21/2016 11:22:12,Very Good,Poor,No knowledge,Very Good,No knowledge,No knowledge,Poor,No knowledge,Average,Poor,Very Good,Very Good,Very Good,Very Good,Good,Good,Very Poor,Very Poor,Average,Very Good,Average,Good,Very Poor,Good,Average,Very Poor,Average,Very Poor,Poor,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Choropleth Map, Histogram",Line Chart,Less than 25,TRUE,FALSE
9/21/2016 10:05:38,Good,Very Poor,No knowledge,Average,No knowledge,No knowledge,No knowledge,No knowledge,Poor,Very Poor,Good,Good,Average,Poor,Poor,Average,Poor,Poor,Poor,Average,Average,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,20,TRUE,TRUE
9/21/2016 11:55:18,Good,Poor,Poor,Very Good,Good,Poor,Poor,Poor,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Poor,Good,Very Good,Poor,Average,Very Poor,Very Poor,Column Bar Chart,Line Chart,20,TRUE,FALSE
9/21/2016 15:56:12,Very Good,Good,Poor,Very Good,Good,Very Poor,Average,Average,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Very Good,Very Good,Average,Average,Very Good,Very Good,Average,Average,Average,Average,"Stacked Bar Chart, Column Bar Chart, Choropleth Map, Histogram",Line Chart,25,TRUE,FALSE
9/21/2016 16:36:00,Good,Average,Good,Good,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Very Poor,Good,Average,Average,Average,Average,Average,"Stacked Bar Chart, Column Bar Chart",Line Chart,About 21 and 22,TRUE,TRUE
9/21/2016 17:13:35,Average,Average,Poor,Good,Average,Good,Good,Good,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Good,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Stacked Bar Chart,Line Chart,"20,22",TRUE,FALSE
9/21/2016 17:53:51,Good,Very Good,No knowledge,Average,Poor,Very Poor,Very Poor,Very Poor,Average,Very Poor,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Average,Good,Good,Good,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,20,TRUE,TRUE
9/21/2016 23:12:12,Average,Poor,No knowledge,Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Good,Good,Average,Poor,Poor,Poor,Poor,Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Column Bar Chart,Line Chart,25,FALSE,FALSE
9/22/2016 14:40:47,Very Good,Average,Good,Very Good,No knowledge,Average,Good,Good,Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Very Good,Very Good,Very Poor,Average,Poor,Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,difficult to tell. below 25,TRUE,TRUE
9/22/2016 15:44:10,Very Good,Average,Very Good,Very Good,No knowledge,No knowledge,Average,No knowledge,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Average,Very Good,Very Good,Very Good,Average,Poor,Very Poor,Very Good,Average,Very Poor,Very Poor,Average,Good,"Stacked Bar Chart, Column Bar Chart, Choropleth Map, Histogram",Line Chart,Less or equal to 25,TRUE,TRUE
9/22/2016 19:02:36,Very Good,Average,Poor,Very Good,Average,No knowledge,No knowledge,No knowledge,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Very Poor,Good,Very Poor,Very Poor,Good,Very Poor,Very Poor,Column Bar Chart,Line Chart,12,TRUE,FALSE
9/22/2016 22:27:08,Very Good,Average,No knowledge,Very Good,No knowledge,No knowledge,Average,No knowledge,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Very Good,Very Good,Good,Average,Very Good,Good,Poor,Average,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,"25,30",FALSE,TRUE
9/22/2016 22:30:00,Good,Good,No knowledge,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Poor,Very Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Good,Very Good,Good,Poor,Poor,Good,Good,Poor,Good,Average,Very Poor,"Stacked Bar Chart, Column Bar Chart, Choropleth Map",Line Chart,"Blue: 19, Green 20",TRUE,TRUE
9/23/2016 0:17:54,Very Good,Good,No knowledge,Very Good,Average,No knowledge,No knowledge,No knowledge,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Very Good,Very Good,Very Good,Very Poor,Very Good,Good,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,"15,18",TRUE,TRUE
9/23/2016 8:06:17,Good,Average,No knowledge,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Very Good,Average,Good,Good,Poor,Poor,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Choropleth Map, Histogram",Line Chart,20,TRUE,TRUE
9/23/2016 15:18:28,Average,Average,Very Poor,Good,Average,Poor,Very Poor,Poor,Average,Average,Average,Average,Average,Average,Poor,Average,Poor,Poor,Average,Good,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,"Stacked Bar Chart, Histogram",Line Chart,can interpret exact values based on the graph,TRUE,FALSE
9/23/2016 17:31:30,Good,Poor,Very Poor,Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,Very Poor,Good,Poor,Very Poor,Very Poor,Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Choropleth Map, Histogram",Line Chart,20,TRUE,TRUE
9/23/2016 23:52:25,Good,Average,Poor,Good,Poor,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,12,TRUE,TRUE
9/24/2016 9:04:44,Very Good,Average,No knowledge,Very Good,Average,Very Poor,Average,Poor,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Average,Very Good,Very Good,Average,Average,Good,Good,"Stacked Bar Chart, Column Bar Chart, Choropleth Map, Histogram",Line Chart,"20,22",TRUE,TRUE
9/24/2016 9:19:47,Average,Average,No knowledge,Average,No knowledge,No knowledge,No knowledge,No knowledge,Poor,Very Poor,Good,Good,Good,Good,Average,Average,Poor,Average,Average,Good,Poor,Very Poor,Very Poor,Average,Poor,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,0,TRUE,TRUE
9/24/2016 10:04:40,Good,Good,Average,Good,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,Good,Good,Average,Average,Good,Good,Average,Good,Average,Average,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,Difficult to determine the exact value from the chart. There are two graphs for April. The approximate values for both are between 20 to 25.,TRUE,TRUE
9/24/2016 14:04:44,Very Good,Very Good,Average,Good,Average,Poor,Poor,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Very Good,Very Good,Good,Very Poor,Good,Average,Very Poor,Poor,Poor,Very Poor,"Column Bar Chart, Histogram",Line Chart,22,TRUE,TRUE
9/24/2016 16:01:12,Good,Average,Average,Average,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Very Poor,Good,Good,Very Poor,Very Poor,Average,Very Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,15,FALSE,TRUE
9/24/2016 22:41:05,Very Good,Good,Poor,Good,Good,Poor,Poor,Poor,Average,Poor,Very Good,Very Good,Very Good,Good,Good,Average,Average,Good,Good,Very Good,Average,Poor,Poor,Good,Average,Average,Good,Poor,Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,20,TRUE,FALSE
9/25/2016 8:58:20,Good,Poor,Very Poor,Good,Very Poor,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Average,Good,Average,Poor,Poor,Poor,Good,Poor,Very Poor,Very Poor,Average,Poor,Poor,Poor,Very Poor,Very Poor,Column Bar Chart,Line Chart,15,TRUE,TRUE
9/25/2016 10:59:10,Poor,Average,No knowledge,Average,No knowledge,No knowledge,No knowledge,No knowledge,Poor,Very Poor,Good,Good,Good,Good,Good,Good,Average,Average,Good,Good,Good,Good,Average,Good,Good,Average,Good,Average,Average,"Stacked Bar Chart, Column Bar Chart, Histogram",Parallel Coordinates Chart,25,FALSE,FALSE
9/25/2016 14:21:30,Good,Average,Poor,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Good,Good,Average,Average,Average,Good,Very Good,Average,Poor,Very Poor,Good,Poor,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,approximately 20,TRUE,TRUE
9/25/2016 15:27:16,Good,Average,No knowledge,Average,No knowledge,No knowledge,Very Poor,Very Poor,Average,Poor,Very Good,Very Good,Very Good,Good,Good,Good,Good,Poor,Poor,Good,Good,Poor,Poor,Good,Poor,Very Poor,Very Poor,Very Poor,Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,0,TRUE,TRUE
9/25/2016 15:42:41,Very Good,Average,Poor,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Poor,Very Poor,Very Good,Very Good,Very Good,Good,Average,Poor,Very Poor,Average,Good,Very Good,Poor,Poor,Very Poor,Average,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Stacked Bar Chart,Line Chart,25,FALSE,TRUE
9/25/2016 17:23:47,Very Good,Average,Poor,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Average,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Good,Poor,Poor,Good,Average,Poor,Average,Poor,Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,19 and 20,TRUE,TRUE
9/25/2016 21:25:36,Good,Poor,No knowledge,Good,No knowledge,No knowledge,No knowledge,No knowledge,Good,Very Poor,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,Good,Average,Very Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,23,TRUE,TRUE
9/26/2016 14:56:24,Good,Poor,No knowledge,Good,No knowledge,Poor,Poor,Poor,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Average,Poor,Poor,Poor,Average,Average,Column Bar Chart,Line Chart,12.5,TRUE,FALSE
9/27/2016 10:10:27,Very Good,Very Poor,No knowledge,Very Good,Very Poor,Very Poor,Average,Very Poor,Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Very Good,Good,Average,Very Poor,Good,Good,Poor,Poor,Average,Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,25,TRUE,TRUE
9/27/2016 10:40:51,Good,Very Poor,No knowledge,Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Very Poor,Good,Good,Good,Average,Good,Average,Poor,Average,Average,Good,Average,Poor,Very Poor,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Parallel Coordinates Chart,"19, 20",TRUE,TRUE
9/27/2016 12:39:27,Very Good,Average,Average,Very Good,Good,Poor,Average,Poor,Good,Average,Very Good,Very Good,Very Good,Good,Very Good,Good,Good,Very Good,Very Good,Good,Good,Good,Average,Very Good,Average,Average,Average,Average,Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,20,TRUE,TRUE
9/29/2016 1:14:39,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Average,Average,Average,Good,Average,Average,Average,Average,Average,Average,Average,Average,Average,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,25,FALSE,TRUE
10/1/2016 16:29:33,Good,Average,Poor,Very Good,Poor,Poor,Poor,Poor,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Poor,Good,Average,Poor,Good,Poor,Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,~15,TRUE,FALSE
10/1/2016 17:07:38,Very Good,Good,No knowledge,Very Good,Good,No knowledge,No knowledge,No knowledge,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Good,Good,Very Poor,Average,Very Good,Good,Very Poor,Very Poor,Average,Poor,Very Poor,Very Poor,Very Poor,Very Poor,"Column Bar Chart, Histogram",Line Chart,12.5,TRUE,TRUE
10/2/2016 0:26:04,Very Good,Good,Very Good,Very Good,Good,No knowledge,Very Poor,No knowledge,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Very Good,Very Good,Very Good,Very Good,Poor,Average,Very Good,Average,Poor,Average,Poor,Poor,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Histogram",Line Chart,"15, 18",FALSE,FALSE
10/3/2016 9:04:34,Very Good,Average,Poor,Very Good,Average,Average,Average,Average,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Average,Poor,Very Good,Very Good,Average,Average,Poor,Average,Poor,Poor,Average,Average,Average,Stacked Bar Chart,Line Chart,20,FALSE,TRUE
10/3/2016 11:25:03,Good,Good,Average,Very Good,Good,Poor,Poor,Poor,Average,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Average,Average,Good,Very Good,Average,Good,Poor,Average,Average,Poor,Good,Average,Average,Column Bar Chart,Line Chart,20,TRUE,TRUE
10/4/2016 4:57:57,Good,Poor,Poor,Good,Good,No knowledge,Poor,No knowledge,Average,Very Poor,Very Good,Very Good,Very Good,Very Good,Good,Good,Average,Average,Average,Very Good,Good,Very Poor,Very Poor,Average,Very Poor,Very Poor,Average,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,"> 25, somewhere between 0 and 25",TRUE,TRUE
10/4/2016 19:49:50,Very Good,Average,Average,Very Good,Average,Poor,Average,Poor,Average,Average,Very Good,Very Good,Very Good,Good,Good,Good,Average,Average,Average,Very Good,Good,Average,Poor,Average,Average,Poor,Average,Average,Average,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Histogram",Line Chart,12.5,TRUE,FALSE
10/5/2016 0:24:59,Very Good,Poor,No knowledge,Good,No knowledge,No knowledge,No knowledge,No knowledge,Very Poor,Very Poor,Very Good,Very Good,Very Good,Average,Average,Average,Poor,Poor,Good,Good,Average,Poor,Very Poor,Average,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Column Bar Chart,Line Chart,25,TRUE,TRUE
10/7/2016 16:39:22,Very Good,Good,Poor,Average,Average,Very Poor,Average,Poor,Good,Poor,Average,Good,Very Good,Very Good,Very Good,Good,Average,Poor,Good,Very Good,Average,Average,Poor,Poor,Poor,Poor,Average,Very Poor,Poor,"Stacked Bar Chart, Column Bar Chart",Line Chart,20 (blue) and 22 (green),TRUE,TRUE
10/8/2016 6:19:25,Good,Average,Poor,Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Good,Good,Good,Good,Average,Average,Average,Average,Poor,Average,Average,Poor,Very Poor,Average,Very Poor,Very Poor,Poor,Poor,Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,"12,14",TRUE,FALSE
10/8/2016 12:08:31,Good,Good,Average,Good,Average,Very Poor,Very Poor,Very Poor,Good,Average,Good,Good,Good,Average,Average,Average,Average,Average,Good,Very Good,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Stacked Bar Chart,Line Chart,20,FALSE,FALSE
10/9/2016 16:59:26,Very Good,Good,Average,Good,No knowledge,Average,Good,Average,Average,Average,Very Good,Very Good,Good,Average,Average,Average,Poor,Good,Good,Very Good,Average,Average,Average,Good,Poor,Average,Average,Average,Poor,"Stacked Bar Chart, Column Bar Chart, Choropleth Map",Line Chart,<25,TRUE,FALSE
10/10/2016 23:03:18,Very Good,Very Good,No knowledge,Very Good,Average,Average,Average,Average,Average,Poor,Very Good,Very Good,Very Good,Good,Average,Poor,Poor,Good,Very Good,Very Good,Very Good,Good,Very Poor,Very Good,Very Good,Poor,Very Good,Very Poor,Average,"Stacked Bar Chart, Column Bar Chart, Parallel Coordinates Chart, Choropleth Map",Line Chart,Cannot be identified,TRUE,TRUE
10/11/2016 18:44:33,Average,Average,No knowledge,Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Average,Good,Good,Good,Good,Good,Good,Very Poor,Very Poor,Very Poor,Good,Good,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Poor,Column Bar Chart,Line Chart,"19,20",TRUE,FALSE
10/12/2016 20:36:52,Very Good,Average,No knowledge,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Average,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Poor,Very Good,Very Good,Very Good,Average,Average,Very Poor,Very Good,Average,Very Poor,Average,Poor,Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,20,TRUE,FALSE
10/14/2016 19:43:29,Good,Good,Good,Good,Average,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,Average,Average,Average,Good,Good,Column Bar Chart,Line Chart,it is difficult to identify the value,TRUE,TRUE
10/15/2016 13:06:48,Very Good,Poor,Poor,Very Good,Average,No knowledge,No knowledge,No knowledge,Average,Very Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Average,Average,Good,Good,Average,Very Poor,Very Poor,Average,Average,Very Poor,Very Poor,Very Poor,Very Poor,"Stacked Bar Chart, Column Bar Chart, Histogram",Line Chart,"20, 21",TRUE,FALSE
10/15/2016 23:45:46,Average,Poor,Average,Good,Average,No knowledge,No knowledge,No knowledge,Average,Very Poor,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,Good,Poor,Very Poor,Good,Poor,Very Poor,Poor,Average,Very Poor,Stacked Bar Chart,Line Chart,"20, 22",FALSE,TRUE
10/17/2016 15:50:44,Very Good,Average,No knowledge,Good,No knowledge,No knowledge,No knowledge,No knowledge,Very Poor,Very Poor,Very Good,Very Good,Very Good,Average,Good,Average,Poor,Average,Average,Good,Very Poor,Poor,Very Poor,Average,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Column Bar Chart,Line Chart,20,TRUE,TRUE
10/19/2016 20:26:48,Very Good,Very Poor,No knowledge,Very Good,No knowledge,No knowledge,No knowledge,No knowledge,Good,Average,Good,Good,Good,Poor,Average,Average,Poor,Good,Good,Good,Average,Poor,Very Poor,Good,Poor,Very Poor,Poor,Very Poor,Very Poor,"Choropleth Map, Histogram",Line Chart,20,FALSE,TRUE
